gene,count
HLA-E,5
PPP1R18,2
HLA-C,7
HLA-B,23
LTB,3
NCR3,1
DDAH2,1
HSPA1A,1
GPSM3,2
HLA-DRA,1
HLA-DRB1,4
PSMB8,1
PSMB9,2
TAP1,1
HLA-DMA,1
HLA-DPA1,2
HLA-DPB1,2
ZBTB22,1
DAXX,3
DEF6,1
PIM1,2
BTBD9,1
CCND3,3
CNPY3,1
PTK7,2
HSP90AB1,3
SUPT3H,1
ELOVL5,1
PTP4A1,3
PHF3,2
HMGN3,1
PNRC1,2
LYRM2,1
NDUFAF4,1
PNISR,1
ATG5,1
FOXO3,1
CD164,2
ZBTB24,1
AK9,1
CDC40,1
CDK19,1
TRAF3IP2-AS1,1
FYN,4
FAM229B,1
TSPYL1,1
NCOA7,2
CENPW,1
SAMD3,2
AKAP7,1
ABRACL,2
CITED2,1
PHACTR2,1
STXBP5,2
TMEM181,1
EZR,3
WTAP,1
CEP43,1
CHST12,3
LFNG,1
BRAT1,1
FOXK1,1
ACTB,59
USP42,2
KLHL7,1
CYCS,1
CBX3,1
SNX10,2
TAX1BP1,2
CREB5,1
AVL9,1
AOAH,2
STK17A,1
TMED4,3
PPIA,5
UPP1,1
SEC61G,3
ERV3-1,1
RABGEF1,1
BAZ1B,1
LAT2,1
RSBN1L,1
TMEM243,1
ANKIB1,1
FAM133B,1
SAMD9,1
BET1,1
BRI3,4
ARPC1B,2
ZNF655,2
ZKSCAN1,1
STAG3,1
POLR2J3,2
KMT2E-AS1,1
SYPL1,1
MDFIC,1
TES,2
IMPDH1,1
TMEM209,1
ZC3HAV1,1
UBN2,1
BRAF,1
GSTK1,2
CASP2,1
ZYX,1
GIMAP7,2
GIMAP4,2
GIMAP1,1
KMT2C,1
DNAJB6,2
ESYT2,1
PLCXD1,1
CD99,2
TMSB4X,54
CA5B,1
SYAP1,1
CDKL5,1
EIF1AX,1
SMS,1
ACOT9,1
SAT1,1
EIF2S3,1
ZFX,1
DYNLT3,1
CXorf38,1
MED14,1
USP9X,1
DDX3X,4
WAS,2
TSPYL2,5
PHF8,1
LAS1L,1
MSN,1
IL2RG,2
FTX,2
RLIM,1
ATRX,2
COX7B,1
GPR174,2
ITM2A,1
GLA,1
HNRNPH2,1
TCEAL8,1
TSC22D3,7
DOCK11,1
SLC25A5,2
STAG2,2
ELF4,1
MAP7D3,1
IDS,5
VMA21,1
SSR4,3
ATP6AP1,1
SLC10A3,1
VAMP7,1
MCPH1,1
MTMR9,1
ATP6V1B2,1
DOK2,1
CCDC25,1
GSR,1
RAB11FIP1,1
DDHD2,1
AP3M2,1
IKBKB,1
THAP1,1
PRKDC,2
MYBL1,3
SGK3,2
TRAM1,1
UBE2W,1
ZFAND1,1
LRRC69,1
TMEM67,1
PABPC1,4
NCALD,3
EIF3E,1
TRPS1,1
RAD21,1
ZHX2,1
DERL1,1
LINC00861,1
CYRIB,3
EFR3A,2
ST3GAL1,2
LY6E,1
CYC1,2
ZNF250,1
SMARCA2,1
RFX3,1
DNAJA1,2
GBA2,3
RGP1,1
GLIPR2,2
ZCCHC7,1
ZNG1E,3
ANXA1,1
RFK,1
TLE4,2
ISCA1,1
SECISBP2,1
ANP32B,2
TRIM14,2
TGFBR1,1
SEC61B,1
AKNA,2
STOM,1
RC3H2,1
RABGAP1,1
STRBP,1
HSPA5,2
BBLN,2
SLC27A4,1
GLE1,1
SET,4
C9orf78,1
FNBP1,1
DDX31,1
SURF4,1
AGPAT2,1
RABL6,1
DPP7,1
TUBB4B,1
MRPL41,1
IFITM2,3
IFITM1,5
SIGIRR,1
LSP1,1
CD81,1
TSSC4,1
KCNQ1OT1,3
NAP1L4,2
RHOG,3
APBB1,2
TAF10,4
TPP1,1
RRAS2,1
COPB1,1
SVIP,1
PRR5L,1
MADD,2
NUP160,2
LPXN,1
CYB561A3,1
TMEM138,1
SDHAF2,2
FTH1,4
AHNAK,2
B3GAT3,1
NUDT22,1
FKBP2,1
CCDC88B,2
RASGRP2,1
SF1,2
NEAT1,2
MALAT1,371
MAP3K11,1
SIPA1,2
EFEMP2,1
CTSW,3
CCDC85B,3
SF3B2,1
CCS,1
ANKRD13D,1
PPP1CA,3
AIP,1
GSTP1,2
ATG16L2,1
RAB6A,1
UCP2,1
SPCS2,2
ARRB1,1
UVRAG,1
CTSC,4
CHORDC1,3
MED17,1
CASP1,1
CARD16,3
CWF19L2,1
RDX,1
REXO2,1
PCSK7,1
CD3E,5
CD3D,7
CD3G,5
UBE4A,1
KMT2A,2
DDX6,2
CENATAC,1
SC5D,1
HSPA8,1
TBRG1,1
DCPS,1
ETS1,1
FLI1,1
IDI1,2
KLF6,1
TAF3,1
CELF2,2
OPTN,2
PHYH,1
PRPF18,1
DCLRE1C,1
VIM,10
MLLT10,1
PIP4K2A,1
APBB1IP,1
WAC,1
MAP3K8,1
CREM,1
CSGALNACT2,2
ZNF22,1
NCOA4,1
UBE2D1,1
SIRT1,1
HERC4,1
HNRNPH3,1
SLC25A16,1
DDX50,1
DDX21,2
SRGN,3
SAR1A,1
PRF1,4
PSAP,1
ASCC1,1
ANXA7,1
VCL,1
ANXA11,2
TSPAN14,1
CCSER2,1
KIF20B,1
NOC3L,1
TM9SF3,1
PIK3AP1,1
LCOR,1
NFKB2,1
MXI1,1
SHOC2,1
FAM204A,1
BUB3,1
KDM5A,4
PARP11,1
FERRY3,1
GAPDH,3
